Year,State,Folder Path,Filename
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,067.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,159.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,055.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,180.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,016.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,004.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,007.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,002.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,077.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,098.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,061.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,019.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,156.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,088.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,152.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,024.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,058.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,013.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,155.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,014.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,162.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,177.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,150.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,008.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,076.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,178.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,001.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,020.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,005.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,143.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,022.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,179.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,012.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,059.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,079.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,121.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,111.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,065.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,023.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,015.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,068.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,025.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,006.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,057.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,018.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,054.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,181.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,176.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,174.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,009.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,003.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,154.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,017.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,053.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,010.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,011.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,167.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,081.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,021.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,153.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,119.pdf
2018,KA,data/PDFs/Karnataka/Assembly Election 2018,056.pdf
